SpomPPI	ScerPPI	reportsInSpom	reportsInScer	ppiType
(('SPBC1604.21c',), ('SPBC2D10.20',))	(('YKL210W',), ('YDR177W',))	2	0	rewired
(('SPBC32H8.12c',), ('SPAC630.03',))	(('YFL039C',), ('YJR065C',))	0	4	rewired
(('SPAC57A10.03',), ('SPBC215.12',))	(('YDR155C',), ('YKL173W', 'YDR385W'))	2	0	rewired
(('SPBC3E7.14',), ('SPBC20F10.09',))	(('YDR378C',), ('YER146W',))	0	7	rewired
(('SPCC4B3.18',), ('SPCC4B3.18',))	(('YIL083C',), ('YIL083C',))	Haiyuan	0	rewired
(('SPAC1687.13c',), ('SPAC17G6.12',))	(('YDL216C',), ('YDL132W',))	2	0	rewired
(('SPBC725.13c',), ('SPBP4H10.21c',))	(('YJL072C',), ('YDR489W',))	4	0	rewired
(('SPAC644.12',), ('SPBP22H7.07',))	(('YMR213W',), ('YPL151C',))	4	0	rewired
(('SPAC16E8.11c',), ('SPCC1682.07',))	(('YDR311W',), ('YLR005W',))	0	9	rewired
(('SPBC4B4.05',), ('SPBC19C2.14',))	(('YFL017W-A',), ('YLR147C',))	0	3	rewired
(('SPBC1604.21c',), ('SPBC211.07c',))	(('YKL210W',), ('YEL012W',))	2	0	rewired
(('SPBC1289.03c',), ('SPBC1773.07c',))	(('YOR185C', 'YLR293C'), ('YIL063C', 'YDR002W'))	2	0	rewired
(('SPAC23G3.01',), ('SPCC1442.10c',))	(('YOR151C',), ('YIL021W',))	7	0	rewired
(('SPBC12D12.09',), ('SPBC12D12.09',))	(('YIL139C',), ('YIL139C',))	Haiyuan	0	rewired
(('SPBC17D1.02',), ('SPBC17D1.02',))	(('YKL191W',), ('YKL191W',))	Haiyuan	0	rewired
(('SPAC644.12',), ('SPBC31F10.11c',))	(('YMR213W',), ('YLR117C',))	4	0	rewired
(('SPBC4.04c',), ('SPAC1B2.05',))	(('YBL023C',), ('YLR274W',))	0	14	rewired
(('SPBC25D12.03c',), ('SPAC1B2.05',))	(('YBR202W',), ('YLR274W',))	0	7	rewired
(('SPBC16G5.10',), ('SPAC3G9.10c',))	(('YDL111C',), ('YGR195W',))	0	7	rewired
(('SPAC29A4.08c',), ('SPBC1861.08c',))	(('YLL036C',), ('YPL213W',))	2	0	rewired
(('SPCC1020.04c',), ('SPCC1442.10c',))	(('YPR187W',), ('YIL021W',))	6	0	rewired
(('SPBC1198.13c',), ('SPCC1442.10c',))	(('YGR005C',), ('YIL021W',))	2	0	rewired
(('SPAC1250.01',), ('SPAC23D3.09',))	(('YOR290C', 'YIL126W'), ('YJL081C',))	2	0	rewired
(('SPAC4A8.12c',), ('SPBC776.02c',))	(('YKL193C',), ('YER133W',))	2	0	rewired
(('SPBC17D1.03c',), ('SPBC115.01c',))	(('YCR035C',), ('YGR095C',))	0	10	rewired
(('SPBC211.04c',), ('SPBC4.04c',))	(('YGL201C',), ('YBL023C',))	4	0	rewired
(('SPAC644.12',), ('SPBC215.12',))	(('YMR213W',), ('YKL173W', 'YDR385W'))	5	0	rewired
(('SPBC4.04c',), ('SPBC4.04c',))	(('YBL023C',), ('YBL023C',))	0	2	rewired
(('SPBC14C8.06',), ('SPAC11H11.06',))	(('YBR234C',), ('YDL029W',))	0	13	rewired
(('SPAC27D7.07c',), ('SPBC215.12',))	(('YGR074W',), ('YKL173W', 'YDR385W'))	2	0	rewired
(('SPAC1420.03',), ('SPBP19A11.03c',))	(('YDL147W',), ('YHR027C',))	3	0	rewired
(('SPAC3A12.07',), ('SPAC23G3.01',))	(('YOL005C',), ('YOR151C',))	0	4	rewired
(('SPBC2D10.20',), ('SPBC1604.21c',))	(('YDR177W',), ('YKL210W',))	0	5	rewired
(('SPBC14F5.09c',), ('SPBC14F5.09c',))	(('YLR359W',), ('YLR359W',))	2	0	rewired
(('SPBC32F12.04',), ('SPBC428.20c',))	(('YLR212C',), ('YNL126W',))	3	0	rewired
(('SPAC926.03',), ('SPAP8A3.08',))	(('YPR188C',), ('YGL106W',))	2	0	rewired
(('SPAC6F12.15c',), ('SPAC821.08c',))	(('YKL022C',), ('YGL116W',))	3	0	rewired
(('SPAC1B2.05',), ('SPBC4.04c',))	(('YLR274W',), ('YBL023C',))	3	0	rewired
(('SPBC14C8.12',), ('SPCC1020.04c',))	(('YOR224C',), ('YPR187W',))	2	0	rewired
(('SPAC2F7.14c',), ('SPBC17D1.03c',))	(('YHR069C',), ('YCR035C',))	2	0	rewired
(('SPBC1198.13c',), ('SPAC23G3.01',))	(('YGR005C',), ('YOR151C',))	0	7	rewired
(('SPAC57A10.03',), ('SPAC57A10.03',))	(('YDR155C',), ('YDR155C',))	0	2	rewired
(('SPCC364.06',), ('SPCC364.06',))	(('YKR048C',), ('YKR048C',))	Haiyuan	0	rewired
(('SPAPB2B4.03',), ('SPBC11B10.09',))	(('YGR108W', 'YPR119W'), ('YBR160W',))	2	0	rewired
(('SPAC12G12.14c',), ('SPAC824.04',))	(('YDR267C', 'YNL317W'), ('YKL018W',))	2	0	rewired
(('SPAC823.15',), ('SPAP8A3.09c',))	(('YDL188C', 'YDL134C'), ('YAL016W',))	3	0	rewired
(('SPBC26H8.07c',), ('SPBC16A3.15c',))	(('YFL037W',), ('YML085C',))	0	9	rewired
(('SPAC821.08c',), ('SPBC20F10.06',))	(('YGL116W',), ('YJL030W',))	8	0	rewired
(('SPAC26A3.08',), ('SPBC215.12',))	(('YER029C',), ('YKL173W', 'YDR385W'))	2	0	rewired
(('SPBC115.01c',), ('SPAC22A12.12c',))	(('YGR095C',), ('YOL142W',))	0	8	rewired
(('SPAC6F12.13c',), ('SPBC36.06c',))	(('YJL167W',), ('YPL069C', 'YJL167W'))	2	0	rewired
(('SPAC1952.07',), ('SPAC20G4.04c',))	(('YOR368W',), ('YLR288C',))	3	0	rewired
(('SPAC31G5.19',), ('SPAC31G5.19',))	(('YGR270W',), ('YGR270W',))	Haiyuan	0	rewired
(('SPAC644.12',), ('SPCC188.11',))	(('YMR213W',), ('YAL032C',))	3	0	rewired
(('SPBC13G1.13',), ('SPCC1682.07',))	(('YPL122C',), ('YLR005W',))	2	0	rewired
