YDL007W	SPBC4.07c
YBR082C	SPBC119.02
YMR022W	SPBP16F5.04
YDR092W	SPAC11E3.04c
YDR177W	SPBC2D10.20
YDL084W	SPAC17G6.14c
YDR353W	SPBC3F6.03
YHR106W	SPBC3F6.03
YJR066W	SPBC216.07c|SPBC30D10.10c
YKL203C	SPBC216.07c|SPBC30D10.10c
YGR005C	SPBC1198.13c
YPL122C	SPBC13G1.13
YDR311W	SPAC16E8.11c
YER148W	SPAC29E6.08
YDR172W	SPCC584.04
YLR113W	SPAC24B11.06c
YLR005W	SPCC1682.07
YHR107C	SPAC9G1.11c
YCR002C	SPAC821.06
YLR314C	SPAC4F10.11
YBL016W	SPAC31G5.09c
YLR293C	SPBC1289.03c
YOR185C	SPBC1289.03c
YGR086C	SPCC736.15
YPL004C	SPCC736.15
YHR074W	SPCC553.02
YBR242W	SPCC4G3.17
YGL101W	SPCC4G3.17
YLR397C	SPBC56F2.07c
YIR036C	SPBC30D10.05c
YKR084C	SPBC25B2.01
YCR035C	SPBC17D1.03c
YDL111C	SPBC16G5.10
YOR046C	SPBC12C2.06
YOL038W	SPBC106.16
YHR069C	SPAC2F7.14c
YIL109C	SPAC22F8.08
YNL049C	SPAC22F8.08
YOL142W	SPAC22A12.12c
YIL126W	SPAC1250.01
YOR290C	SPAC1250.01
YFL017W-A	SPBC4B4.05
YLR147C	SPBC19C2.14
YLR275W	SPAC2C4.03c
YDR489W	SPBP4H10.21c
YDR328C	SPBC409.05
YGR195W	SPAC3G9.10c
YPR181C	SPCC31H12.07|SPBC776.04
YKL193C	SPAC4A8.12c
YER133W	SPCC31H12.05c|SPBC776.02c
YDR502C	SPBC14F5.05c
YLR180W	SPBC14F5.05c
YGR095C	SPBC115.01c
YKL145W	SPBC16C6.07c
YFR004W	SPAC31G5.13
YOR224C	SPBC14C8.12
YDR404C	SPACUNK4.06c
YIL021W	SPCC1442.10c
YOR151C	SPAC23G3.01
YOL005C	SPAC3A12.07
YGL058W	SPAC18B11.07c
YIL143C	SPAC17A5.06
YKL210W	SPBC1604.21c
YJL072C	SPBC725.13c
YDR364C	SPBC6B1.10
YDL134C	SPBC16H5.07c|SPAC823.15
YDL188C	SPBC16H5.07c|SPAC823.15
YNL006W	SPBC21B10.05c
YFL009W	SPAC4D7.03
YIL046W	SPAC57A10.05c
YGL097W	SPBC557.03c
YPL091W	SPBC17A3.07
YGL190C	SPAC227.07c
YAL016W	SPAP8A3.09c
YFL037W	SPBC26H8.07c
YML085C	SPBC16A3.15c
YML124C	SPBC16A3.15c
YKL129C	SPBC146.13c
YMR109W	SPBC146.13c
YPR025C	SPBP16F5.02
YBR202W	SPBC25D12.03c
YLR274W	SPAC1B2.05
YBL023C	SPBC4.04c
YNL147W	SPCC285.12
YER146W	SPBC20F10.09
